"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Avery Bradley",5500,"Min@Bos 07:30PM ET",25.590,"Bos"
"C","Joakim Noah",5400,"Bkn@Chi 08:00PM ET",23.719,"Chi"
"SF","C.J. Miles",5300,"Ind@SA 08:30PM ET",24.217,"Ind"
"C","Gorgui Dieng",5300,"Min@Bos 07:30PM ET",21.288,"Min"
"PG","George Hill",5200,"Ind@SA 08:30PM ET",24.815,"Ind"
"PG","Jeremy Lin",5200,"Cha@Hou 08:00PM ET",22.529,"Cha"
"C","Alex Len",5200,"Pho@Uta 09:00PM ET",19.080,"Pho"
"PG","Tony Parker",5100,"Ind@SA 08:30PM ET",24.852,"SA"
"PG","Darren Collison",5100,"Sac@Was 07:00PM ET",23.262,"Sac"
"PG","Patrick Beverley",5100,"Cha@Hou 08:00PM ET",18.714,"Hou"
"SF","Al-Farouq Aminu",5100,"Por@Atl 08:00PM ET",25.000,"Por"
"PG","Dennis Schroder",5100,"Por@Atl 08:00PM ET",22.580,"Atl"
"PF","Jordan Hill",5000,"Ind@SA 08:30PM ET",23.500,"Ind"
"C","Mason Plumlee",5000,"Por@Atl 08:00PM ET",26.446,"Por"
"SG","Arron Afflalo",4900,"Orl@NY 07:30PM ET",22.500,"NY"
"SG","Alec Burks",4900,"Pho@Uta 09:00PM ET",23.780,"Uta"
"SG","J.J. Redick",4800,"OKC@LAC 10:30PM ET",21.042,"LAC"
"C","Ian Mahinmi",4800,"Ind@SA 08:30PM ET",22.690,"Ind"
"SF","Joe Johnson",4700,"Bkn@Chi 08:00PM ET",23.356,"Bkn"
"SG","Evan Turner",4700,"Min@Bos 07:30PM ET",22.917,"Bos"
"PF","Nikola Mirotic",4700,"Bkn@Chi 08:00PM ET",22.540,"Chi"
"PF","Cody Zeller",4700,"Cha@Hou 08:00PM ET",17.979,"Cha"
"PG","Marcus Smart",4700,"Min@Bos 07:30PM ET",23.278,"Bos"
"SG","Jeremy Lamb",4600,"Cha@Hou 08:00PM ET",21.750,"Cha"
"C","Enes Kanter",4600,"OKC@LAC 10:30PM ET",23.065,"OKC"
"SF","Evan Fournier",4600,"Orl@NY 07:30PM ET",24.260,"Orl"
"SG","Rondae Hollis-Jefferson",4600,"Bkn@Chi 08:00PM ET",18.289,"Bkn"
"SG","Jamal Crawford",4500,"OKC@LAC 10:30PM ET",18.527,"LAC"
"SG","Kevin Martin",4500,"Min@Bos 07:30PM ET",18.135,"Min"
