"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Jameer Nelson",4900,"Den@Uta 09:00PM ET",18.478,"Den"
"PG","Jerryd Bayless",4900,"Mil@GS 10:30PM ET",24.158,"Mil"
"C","Bismack Biyombo",4900,"Tor@Mia 08:00PM ET",17.654,"Tor"
"SG","Kevin Martin",4800,"Sac@Min 08:00PM ET",18.750,"Min"
"SG","Arron Afflalo",4800,"NY@Phi 07:00PM ET",21.375,"NY"
"C","Ian Mahinmi",4800,"Bkn@Ind 07:00PM ET",22.783,"Ind"
"PF","Jordan Hill",4800,"Bkn@Ind 07:00PM ET",22.773,"Ind"
"SG","Evan Turner",4800,"Atl@Bos 07:30PM ET",23.087,"Bos"
"SG","Eric Gordon",4800,"NO@Pho 10:30PM ET",25.180,"NO"
"PF","Nikola Mirotic",4800,"Det@Chi 08:00PM ET",23.717,"Chi"
"SF","Evan Fournier",4800,"Por@Orl 07:00PM ET",24.700,"Orl"
"SG","J.J. Redick",4700,"LAC@SA 08:00PM ET",20.909,"LAC"
"PG","Marcus Smart",4700,"Atl@Bos 07:30PM ET",23.278,"Bos"
"SF","Jerami Grant",4700,"NY@Phi 07:00PM ET",22.213,"Phi"
"SF","Luol Deng",4600,"Tor@Mia 08:00PM ET",20.875,"Mia"
"C","Kosta Koufos",4600,"Sac@Min 08:00PM ET",20.970,"Sac"
"PG","Isaiah Canaan",4600,"NY@Phi 07:00PM ET",19.333,"Phi"
"SF","Bojan Bogdanovic",4600,"Bkn@Ind 07:00PM ET",15.870,"Bkn"
"SG","Rondae Hollis-Jefferson",4600,"Bkn@Ind 07:00PM ET",18.289,"Bkn"
"SG","Courtney Lee",4500,"Mem@Dal 08:30PM ET",18.593,"Mem"
"SG","Rodney Stuckey",4500,"Bkn@Ind 07:00PM ET",20.368,"Ind"
"PF","Amir Johnson",4500,"Atl@Bos 07:30PM ET",20.952,"Bos"
"PG","Ish Smith",4500,"NO@Pho 10:30PM ET",25.740,"NO"
"PF","Ed Davis",4500,"Por@Orl 07:00PM ET",21.157,"Por"
"SG","Rodney Hood",4500,"Den@Uta 09:00PM ET",21.120,"Uta"
"C","Andrew Bogut",4400,"Mil@GS 10:30PM ET",21.974,"GS"
"SG","Gerald Green",4400,"Tor@Mia 08:00PM ET",17.194,"Mia"
"PF","Darrell Arthur",4400,"Den@Uta 09:00PM ET",15.568,"Den"
"C","Festus Ezeli",4400,"Mil@GS 10:30PM ET",21.481,"GS"
"SF","Mirza Teletovic",4400,"NO@Pho 10:30PM ET",16.759,"Pho"
"SF","T.J. Warren",4400,"NO@Pho 10:30PM ET",18.327,"Pho"
"SG","Kyle Korver",4300,"Atl@Bos 07:30PM ET",20.720,"Atl"
"PF","Taj Gibson",4300,"Det@Chi 08:00PM ET",18.370,"Chi"
"PF","Trevor Booker",4300,"Den@Uta 09:00PM ET",16.870,"Uta"
"SF","Chandler Parsons",4300,"Mem@Dal 08:30PM ET",14.947,"Dal"
"C","Kelly Olynyk",4300,"Atl@Bos 07:30PM ET",19.180,"Bos"
"PG","T.J. McConnell",4300,"NY@Phi 07:00PM ET",22.954,"Phi"
"PG","Trey Burke",4300,"Den@Uta 09:00PM ET",19.708,"Uta"
"C","Joffrey Lauvergne",4300,"Den@Uta 09:00PM ET",19.432,"Den"
"SG","Manu Ginobili",4200,"LAC@SA 08:00PM ET",21.523,"SA"
"C","Tyson Chandler",4200,"NO@Pho 10:30PM ET",18.222,"Pho"
"SF","Thabo Sefolosha",4200,"Atl@Bos 07:30PM ET",18.924,"Atl"
"PF","Markieff Morris",4200,"NO@Pho 10:30PM ET",21.847,"Pho"
"PF","John Henson",4200,"Mil@GS 10:30PM ET",16.163,"Mil"
"PG","Shane Larkin",4200,"Bkn@Ind 07:00PM ET",18.094,"Bkn"
"SG","Gary Harris",4200,"Den@Uta 09:00PM ET",18.289,"Den"
"PG","Jose Calderon",4100,"NY@Phi 07:00PM ET",18.452,"NY"
"PF","Patrick Patterson",4100,"Tor@Mia 08:00PM ET",14.760,"Tor"
"PG","Cory Joseph",4100,"Tor@Mia 08:00PM ET",19.106,"Tor"
"C","Nikola Jokic",4100,"Den@Uta 09:00PM ET",17.946,"Den"
"PF","Andrew Nicholson",4000,"Por@Orl 07:00PM ET",16.422,"Orl"
"PG","Brandon Jennings",4000,"Det@Chi 08:00PM ET",0,"Det"
"SG","Terrence Ross",4000,"Tor@Mia 08:00PM ET",12.425,"Tor"
"PF","Dwight Powell",4000,"Mem@Dal 08:30PM ET",19.870,"Dal"
"PG","Tony Wroten",4000,"NY@Phi 07:00PM ET",12.100,"Phi"
"PF","David Lee",3900,"Atl@Bos 07:30PM ET",15.646,"Bos"
"PG","Mario Chalmers",3900,"Mem@Dal 08:30PM ET",19.010,"Mem"
"C","Robin Lopez",3900,"NY@Phi 07:00PM ET",18.279,"NY"
"SG","Marco Belinelli",3900,"Sac@Min 08:00PM ET",17.630,"Sac"
"SG","Allen Crabbe",3900,"Por@Orl 07:00PM ET",15.880,"Por"
"SG","Ben McLemore",3900,"Sac@Min 08:00PM ET",14.540,"Sac"
"PF","David West",3800,"LAC@SA 08:00PM ET",13.944,"SA"
"SF","P.J. Tucker",3800,"NO@Pho 10:30PM ET",15.917,"Pho"
"SG","Danny Green",3800,"LAC@SA 08:00PM ET",17.361,"SA"
"PF","J.J. Hickson",3800,"Den@Uta 09:00PM ET",16.667,"Den"
"C","Meyers Leonard",3800,"Por@Orl 07:00PM ET",17.363,"Por"
"SG","Langston Galloway",3800,"NY@Phi 07:00PM ET",18.721,"NY"
"PF","Josh Smith",3700,"LAC@SA 08:00PM ET",16.375,"LAC"
"PG","Patty Mills",3700,"LAC@SA 08:00PM ET",17.222,"SA"
"SF","Doug McDermott",3700,"Det@Chi 08:00PM ET",14.413,"Chi"
"SG","Tyler Johnson",3700,"Tor@Mia 08:00PM ET",16.563,"Mia"
"SF","Justise Winslow",3700,"Tor@Mia 08:00PM ET",15.854,"Mia"
"SF","Stanley Johnson",3700,"Det@Chi 08:00PM ET",15.454,"Det"
"PG","Devin Harris",3600,"Mem@Dal 08:30PM ET",15.625,"Dal"
