,Position,Name,teamAbbrev,NBAAbbrev
320,SF,Pat Connaughton,Por,POR
321,SG,Darrun Hilliard,Det,DET
322,PG,Spencer Dinwiddie,Det,DET
323,SF,Michael Kidd-Gilchrist,Cha,CHA
324,SG,Josh Richardson,Mia,MIA
325,SF,Branden Dawson,LAC,LAC
326,PF,James Michael McAdoo,GS,GSW
327,PF,Rakeem Christmas,Ind,IND
328,PF,Jarnell Stokes,Mia,MIA
329,SF,Sergey Karasev,Bkn,BKN
330,SG,R.J. Hunter,Bos,BOS
331,SG,Jordan Adams,Mem,MEM
332,SF,Justin Anderson,Dal,DAL
333,SF,Glenn Robinson III,Ind,IND
334,PF,Mitch McGary,OKC,OKC
335,SG,Archie Goodwin,Pho,PHO
336,SF,Cleanthony Early,NY,NYK
337,PF,Jarell Martin,Mem,MEM
338,PF,Jordan Mickey,Bos,BOS
339,PF,Bobby Portis,Chi,CHI
340,PF,Christian Wood,Phi,PHI
341,PG,Terry Rozier,Bos,BOS
342,PG,Tyler Ennis,Mil,MIL
343,SG,James Young,Bos,BOS
344,PG,Aaron Harrison,Cha,CHA
345,PG,Cameron Payne,OKC,OKC
346,C,Joel Embiid,Phi,PHI
347,PG,Dante Exum,Uta,UTA
348,SF,Damien Inglis,Mil,MIL
349,C,Walter Tavares,Atl,ATL
350,SF,Damjan Rudez,Min,MIN
351,C,Cristiano Felicio,Chi,CHI
352,SG,Mario Hezonja,Orl,ORL
353,PG,Tyus Jones,Min,MIN
354,PF,Cliff Alexander,Por,POR
355,SF,Kelly Oubre Jr.,Was,WAS
356,PF,Kevon Looney,GS,GSW
357,PF,Chris McCullough,Bkn,BKN
358,SF,Luis Montero,Por,POR
359,SG,James Harden,Hou,HOU
360,PF,DeMarcus Cousins,Sac,SAC
361,SF,LeBron James,Cle,CLE
362,PG,Rajon Rondo,Sac,SAC
363,PF,Kevin Love,Cle,CLE
364,C,Dwight Howard,Hou,HOU
365,SF,Danilo Gallinari,Den,DEN
366,SF,Rudy Gay,Sac,SAC
367,PG,Kyrie Irving,Cle,CLE
368,SG,Will Barton,Den,DEN
369,SG,Kobe Bryant,LAL,LAL
370,PF,Kenneth Faried,Den,DEN
371,PF,Julius Randle,LAL,LAL
372,SF,Omri Casspi,Sac,SAC
373,SF,Trevor Ariza,Hou,HOU
374,SF,Wilson Chandler,Den,DEN
375,C,Clint Capela,Hou,HOU
376,PG,Emmanuel Mudiay,Den,DEN
377,SG,J.R. Smith,Cle,CLE
378,SG,Jordan Clarkson,LAL,LAL
379,PG,D'Angelo Russell,LAL,LAL
380,PG,Lou Williams,LAL,LAL
381,PF,Tristan Thompson,Cle,CLE
382,C,Jusuf Nurkic,Den,DEN
383,PG,Darren Collison,Sac,SAC
384,PG,Patrick Beverley,Hou,HOU
385,PF,Terrence Jones,Hou,HOU
386,PG,Mo Williams,Cle,CLE
387,PG,Matthew Dellavedova,Cle,CLE
388,PF,Darrell Arthur,Den,DEN
389,C,Kosta Koufos,Sac,SAC
390,PG,Jameer Nelson,Den,DEN
391,C,Roy Hibbert,LAL,LAL
392,SF,Marcus Thornton,Hou,HOU
393,SF,Corey Brewer,Hou,HOU
394,C,Joffrey Lauvergne,Den,DEN
395,SG,Gary Harris,Den,DEN
396,C,Nikola Jokic,Den,DEN
397,PF,J.J. Hickson,Den,DEN
398,SG,Marco Belinelli,Sac,SAC
399,SG,Ben McLemore,Sac,SAC
400,SG,Iman Shumpert,Cle,CLE
401,PG,Ty Lawson,Hou,HOU
402,PF,Brandon Bass,LAL,LAL
403,SG,Nick Young,LAL,LAL
404,C,Timofey Mozgov,Cle,CLE
405,PG,Randy Foye,Den,DEN
406,PF,Donatas Motiejunas,Hou,HOU
407,SF,Metta World Peace,LAL,LAL
408,PF,Larry Nance Jr.,LAL,LAL
409,C,Willie Cauley-Stein,Sac,SAC
410,PG,Jason Terry,Hou,HOU
411,SF,Richard Jefferson,Cle,CLE
412,SG,Jared Cunningham,Cle,CLE
413,SG,Mike Miller,Den,DEN
414,SG,James Jones,Cle,CLE
415,C,Anderson Varejao,Cle,CLE
416,SF,Caron Butler,Sac,SAC
417,C,Sasha Kaun,Cle,CLE
418,SG,James Anderson,Sac,SAC
419,C,Robert Sacre,LAL,LAL
420,PG,Seth Curry,Sac,SAC
421,PF,Quincy Acy,Sac,SAC
422,SF,Ryan Kelly,LAL,LAL
423,SG,Joe Harris,Cle,CLE
424,C,Tarik Black,LAL,LAL
425,SF,Duje Dukan,Sac,SAC
426,SF,Anthony Brown,LAL,LAL
427,PF,Eric Moreland,Sac,SAC
428,PG,Marcelo Huertas,LAL,LAL
429,SF,K.J. McDaniels,Hou,HOU
430,SF,Kostas Papanikolaou,Den,DEN
431,SF,Sam Dekker,Hou,HOU
432,PF,Montrezl Harrell,Hou,HOU
433,SG,DeMar DeRozan,Tor,TOR
434,PG,Kyle Lowry,Tor,TOR
435,PF,Luis Scola,Tor,TOR
436,C,Bismack Biyombo,Tor,TOR
437,PG,Cory Joseph,Tor,TOR
438,PF,Patrick Patterson,Tor,TOR
439,SF,Terrence Ross,Tor,TOR
440,PF,James Johnson,Tor,TOR
441,SG,Norman Powell,Tor,TOR
442,C,Lucas Nogueira,Tor,TOR
443,PF,Anthony Bennett,Tor,TOR
444,SF,Demarre Carrol,Tor,TOR
